name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost,avg_sets_lost
albot r.,Clay,2021,1,5,0,1,4,12,1
albot r.,Clay,2023,1,3,0,0,3,8,1
albot r.,Grass,2022,1,4,1,0,4,9,0
albot r.,Hard,2021,5,8,2,2,15,21,0.6
albot r.,Hard,2022,8,6,1,1,21,16,0.375
albot r.,Hard,2023,4,5,1,1,9,11,0.25
alcaraz c.,Clay,2021,8,5,5,1,20,14,0.375
alcaraz c.,Clay,2022,26,4,6,3,59,21,0.4615384615384615
alcaraz c.,Clay,2023,25,3,0,3,57,13,0.24
alcaraz c.,Grass,2021,1,1,0,0,3,5,2
alcaraz c.,Grass,2022,3,1,0,1,10,5,0.6666666666666667
alcaraz c.,Grass,2023,5,0,0,0,10,1,0.2
alcaraz c.,Hard,2021,17,10,10,3,42,31,0.588235294117647
alcaraz c.,Hard,2022,25,6,5,4,63,22,0.36
alcaraz c.,Hard,2023,9,1,0,1,19,2,0
altmaier d.,Clay,2021,5,6,5,0,14,15,0.6
altmaier d.,Clay,2022,1,6,0,4,5,14,1
altmaier d.,Clay,2023,6,5,2,1,17,14,0.5
altmaier d.,Grass,2022,2,4,2,2,4,10,0.5
altmaier d.,Hard,2021,1,1,1,0,2,2,0
altmaier d.,Hard,2022,2,11,0,6,9,25,0.5
altmaier d.,Hard,2023,1,5,0,0,5,11,0
arnaldi m.,Clay,2023,5,4,4,0,13,12,0.6
auger-aliassime f.,Clay,2021,4,6,2,5,10,15,0.5
auger-aliassime f.,Clay,2022,11,7,0,4,29,20,0.45454545454545453
auger-aliassime f.,Clay,2023,1,3,0,3,4,7,0
auger-aliassime f.,Grass,2021,9,3,3,2,23,11,0.4444444444444445
auger-aliassime f.,Grass,2022,4,4,0,4,11,10,0.25
auger-aliassime f.,Hard,2021,22,13,2,9,56,37,0.40909090909090906
auger-aliassime f.,Hard,2022,36,12,4,8,82,38,0.33333333333333337
auger-aliassime f.,Hard,2023,12,7,0,5,28,22,0.5833333333333333
baez s.,Clay,2021,1,1,1,1,2,2,0
baez s.,Clay,2022,20,12,6,6,48,35,0.5
baez s.,Clay,2023,14,10,0,7,33,25,0.2857142857142857
baez s.,Grass,2022,2,2,0,2,6,5,0
baez s.,Grass,2023,1,1,0,0,2,2,0
baez s.,Hard,2022,3,11,1,6,8,26,1
baez s.,Hard,2023,1,5,0,4,3,11,0
barrere g.,Clay,2022,1,2,1,0,4,7,2
barrere g.,Clay,2023,5,5,2,1,14,13,0.4
barrere g.,Grass,2023,4,3,3,0,9,8,0.5
barrere g.,Hard,2021,1,3,1,0,3,6,0
barrere g.,Hard,2022,1,1,1,0,2,2,0
barrere g.,Hard,2023,7,7,5,2,16,18,0.42857142857142855
bautista agut r.,Clay,2021,7,7,0,5,19,16,0.14285714285714288
bautista agut r.,Clay,2022,5,3,0,3,12,7,0.2
bautista agut r.,Clay,2023,4,6,0,3,12,15,0.5
bautista agut r.,Grass,2021,4,3,0,3,11,10,0.75
bautista agut r.,Grass,2022,5,2,1,0,12,5,0.2
bautista agut r.,Grass,2023,3,1,1,0,6,2,0
bautista agut r.,Hard,2021,16,13,4,12,44,33,0.3125
bautista agut r.,Hard,2022,18,13,1,11,44,32,0.2222222222222222
bautista agut r.,Hard,2023,8,8,1,7,23,24,0.875
berrettini m.,Clay,2021,13,4,0,1,31,14,0.38461538461538464
berrettini m.,Clay,2022,4,2,0,1,10,6,0.5
berrettini m.,Clay,2023,2,0,0,0,4,1,0.5
berrettini m.,Grass,2021,11,1,0,0,29,7,0.36363636363636365
berrettini m.,Grass,2022,9,0,0,0,18,4,0.4444444444444444
berrettini m.,Hard,2021,13,5,0,4,35,18,0.5384615384615385
berrettini m.,Hard,2022,14,7,0,5,41,28,0.8571428571428571
berrettini m.,Hard,2023,1,3,0,3,5,7,0
bonzi b.,Clay,2022,1,3,0,0,2,7,0
bonzi b.,Clay,2023,2,1,1,1,4,2,0
bonzi b.,Grass,2021,1,1,0,0,4,5,2
bonzi b.,Grass,2022,7,4,1,0,17,10,0.14285714285714288
bonzi b.,Hard,2021,1,3,1,1,5,6,0
bonzi b.,Hard,2022,11,14,3,3,31,33,0.27272727272727276
bonzi b.,Hard,2023,10,6,6,3,24,18,0.5
borges n.,Clay,2021,1,1,1,0,3,2,0
borges n.,Clay,2023,3,5,2,2,7,13,0.6666666666666667
borges n.,Hard,2022,3,3,1,1,9,10,1
borges n.,Hard,2023,2,4,0,0,5,10,0.5
broady l.,Grass,2021,2,3,2,0,6,7,0
broady l.,Grass,2022,2,3,1,0,8,11,2
broady l.,Grass,2023,1,2,0,0,3,4,0
broady l.,Hard,2021,1,2,1,0,3,4,0
broady l.,Hard,2022,3,4,2,0,8,10,0.33333333333333337
broady l.,Hard,2023,1,1,0,0,2,3,1
brouwer g.,Clay,2022,2,1,2,0,4,2,0
brouwer g.,Clay,2023,3,2,3,0,6,4,0
brouwer g.,Hard,2022,1,1,1,0,4,3,0
brouwer g.,Hard,2023,2,2,1,0,4,5,0.5
bublik a.,Clay,2021,4,6,2,3,10,15,0.5
bublik a.,Clay,2022,2,5,0,3,8,12,0.5
bublik a.,Clay,2023,3,6,1,1,11,15,0.6666666666666666
bublik a.,Grass,2021,7,4,1,2,17,11,0.2857142857142857
bublik a.,Grass,2022,8,5,1,1,20,13,0.25
bublik a.,Grass,2023,5,1,4,0,10,4,0.4
bublik a.,Hard,2021,22,16,5,9,54,43,0.40909090909090906
bublik a.,Hard,2022,18,14,3,8,42,38,0.4444444444444444
bublik a.,Hard,2023,3,8,1,5,9,19,0.6666666666666666
cachin p.,Clay,2022,1,2,1,1,4,6,1
cachin p.,Clay,2023,8,10,2,4,23,24,0.375
cachin p.,Hard,2022,4,4,1,2,13,14,1.25
cachin p.,Hard,2023,1,5,0,2,2,11,0
carballes baena r.,Clay,2021,8,8,4,3,18,19,0.25
carballes baena r.,Clay,2022,7,9,2,2,19,22,0.42857142857142855
carballes baena r.,Clay,2023,10,9,5,3,26,25,0.6
carballes baena r.,Grass,2023,1,2,0,1,2,5,1
carballes baena r.,Hard,2021,3,5,2,0,9,14,0.6666666666666666
carballes baena r.,Hard,2022,4,8,3,2,12,20,0.5
carballes baena r.,Hard,2023,1,4,1,1,3,9,0
cecchinato m.,Clay,2021,13,13,8,3,36,32,0.38461538461538464
cecchinato m.,Clay,2022,4,6,2,0,10,16,0.75
cecchinato m.,Clay,2023,9,6,6,2,20,16,0.33333333333333337
cecchinato m.,Hard,2021,2,7,0,4,7,17,0.5
cecchinato m.,Hard,2023,1,1,1,0,2,2,0
cerundolo f.,Clay,2021,5,6,5,0,12,17,0.8
cerundolo f.,Clay,2022,14,7,9,2,29,22,0.5
cerundolo f.,Clay,2023,15,9,4,4,40,28,0.6
cerundolo f.,Grass,2022,1,3,0,1,5,7,0
cerundolo f.,Grass,2023,5,1,2,1,10,5,0.6
cerundolo f.,Hard,2022,6,10,3,4,17,24,0.5
cerundolo f.,Hard,2023,6,3,1,0,15,10,0.5
chardy j.,Clay,2021,4,6,2,0,9,16,0.75
chardy j.,Grass,2021,1,3,1,2,5,7,0
chardy j.,Hard,2021,11,8,10,1,26,25,0.6363636363636364
chardy j.,Hard,2023,1,1,1,0,3,4,1
coria f.,Clay,2021,12,8,5,5,26,23,0.5
coria f.,Clay,2022,12,12,6,5,28,33,0.6666666666666666
coria f.,Clay,2023,2,3,1,1,6,8,0.5
coria f.,Hard,2021,3,8,2,3,8,20,0.6666666666666666
coria f.,Hard,2022,2,5,1,0,6,12,0
coric b.,Clay,2022,3,4,3,0,10,11,0.6666666666666666
coric b.,Clay,2023,9,5,1,3,21,17,0.6666666666666667
coric b.,Hard,2021,6,3,0,3,14,7,0
coric b.,Hard,2022,13,7,9,2,30,21,0.46153846153846145
coric b.,Hard,2023,2,5,0,4,5,12,0.5
couacaud e.,Clay,2021,1,2,1,0,5,5,0
couacaud e.,Hard,2023,1,1,1,0,4,3,0
cressy m.,Clay,2022,1,5,1,1,5,11,0
cressy m.,Grass,2021,2,1,1,0,4,3,0.5
cressy m.,Grass,2022,9,4,5,2,23,14,0.5555555555555556
cressy m.,Grass,2023,1,3,0,1,3,6,0
cressy m.,Hard,2021,4,5,4,0,12,15,0.75
cressy m.,Hard,2022,16,17,7,7,41,43,0.5
cressy m.,Hard,2023,7,8,3,4,18,21,0.5714285714285714
daniel t.,Clay,2021,3,4,3,1,10,11,0.6666666666666666
daniel t.,Clay,2022,2,2,2,1,6,7,1
daniel t.,Clay,2023,1,2,1,0,5,5,0
daniel t.,Hard,2021,2,6,1,2,5,15,0.5
